inc,educ,race,z1,z2
16,10,b,1,0
18,7,b,1,0
26,9,b,1,0
16,11,b,1,0
34,14,b,1,0
22,12,b,1,0
42,16,b,1,0
42,16,b,1,0
16,9,b,1,0
20,10,b,1,0
66,16,b,1,0
26,12,b,1,0
20,10,b,1,0
30,15,b,1,0
20,10,b,1,0
30,19,b,1,0
32,16,h,0,1
16,11,h,0,1
20,10,h,0,1
58,16,h,0,1
30,12,h,0,1
26,10,h,0,1
20,8,h,0,1
40,12,h,0,1
32,10,h,0,1
22,11,h,0,1
20,10,h,0,1
56,14,h,0,1
32,12,h,0,1
30,11,h,0,1
30,14,w,0,0
48,14,w,0,0
40,7,w,0,0
84,18,w,0,0
50,10,w,0,0
38,12,w,0,0
30,12,w,0,0
76,16,w,0,0
48,16,w,0,0
36,11,w,0,0
40,11,w,0,0
44,12,w,0,0
30,10,w,0,0
60,15,w,0,0
24,9,w,0,0
88,17,w,0,0
46,16,w,0,0
50,16,w,0,0
50,14,w,0,0
22,11,w,0,0
26,12,w,0,0
46,16,w,0,0
22,9,w,0,0
24,9,w,0,0
64,14,w,0,0
62,16,w,0,0
24,10,w,0,0
50,13,w,0,0
32,10,w,0,0
34,16,w,0,0
52,18,w,0,0
24,12,w,0,0
22,14,w,0,0
20,13,w,0,0
30,14,w,0,0
24,13,w,0,0
120,18,w,0,0
22,10,w,0,0
82,16,w,0,0
18,12,w,0,0
26,12,w,0,0
104,14,w,0,0
28,12,w,0,0
32,12,w,0,0
38,14,w,0,0
44,12,w,0,0
22,12,w,0,0
18,10,w,0,0
24,12,w,0,0
56,20,w,0,0
