State,VR,MR,M,W,H,P,S
AK,761,9.0,41.8,75.2,86.6,9.1,14.3
AL,780,11.6,67.4,73.5,66.9,17.4,11.5
AR,593,10.2,44.7,82.9,66.3,20.0,10.7
AZ,715,8.6,84.7,88.6,78.7,15.4,12.1
CA,1078,13.1,96.7,79.3,76.2,18.2,12.5
CO,567,5.8,81.8,92.5,84.4,9.9,12.1
CT,456,6.3,95.7,89.0,79.2,8.5,10.1
DE,686,5.0,82.7,79.4,77.5,10.2,11.4
FL,1206,8.9,93.0,83.5,74.4,17.8,10.6
GA,723,11.4,67.7,70.8,70.9,13.5,13.0
HI,261,3.8,74.7,40.9,80.1,8.0,9.1
IA,326,2.3,43.8,96.6,80.1,10.3,9.0
ID,282,2.9,30.0,96.7,79.7,13.1,9.5
IL,960,11.4,84.0,81.0,76.2,13.6,11.5
IN,489,7.5,71.6,90.6,75.6,12.2,10.8
KS,496,6.4,54.6,90.9,81.3,13.1,9.9
KY,463,6.6,48.5,91.8,64.6,20.4,10.6
LA,1062,20.3,75.0,66.7,68.3,26.4,14.9
MA,805,3.9,96.2,91.1,80.0,10.7,10.9
MD,998,12.7,92.8,68.9,78.4,9.7,12.0
ME,126,1.6,35.7,98.5,78.8,10.7,10.6
MI,792,9.8,82.7,83.1,76.8,15.4,13.0
MN,327,3.4,69.3,94.0,82.4,11.6,9.9
MO,744,11.3,68.3,87.6,73.9,16.1,10.9
MS,434,13.5,30.7,63.3,64.3,24.7,14.7
MT,178,3.0,24.0,92.6,81.0,14.9,10.8
NC,679,11.3,66.3,75.2,70.0,14.4,11.1
ND,82,1.7,41.6,94.2,76.7,11.2,8.4
NE,339,3.9,50.6,94.3,81.8,10.3,9.4
NH,138,2.0,59.4,98.0,82.2,9.9,9.2
NJ,627,5.3,100.0,80.8,76.7,10.9,9.6
NM,930,8.0,56.0,87.1,75.1,17.4,13.8
NV,875,10.4,84.8,86.7,78.8,9.8,12.4
NY,1074,13.3,91.7,77.2,74.8,16.4,12.7
OH,504,6.0,81.3,87.5,75.7,13.0,11.4
OK,635,8.4,60.1,82.5,74.6,19.9,11.1
OR,503,4.6,70.0,93.2,81.5,11.8,11.3
PA,418,6.8,84.8,88.7,74.7,13.2,9.6
RI,402,3.9,93.6,92.6,72.0,11.2,10.8
SC,1023,10.3,69.8,68.6,68.3,18.7,12.3
SD,208,3.4,32.6,90.2,77.1,14.2,9.4
TN,766,10.2,67.7,82.8,67.1,19.6,11.2
TX,762,11.9,83.9,85.1,72.1,17.4,11.8
UT,301,3.1,77.5,94.8,85.1,10.7,10.0
VA,372,8.3,77.5,77.1,75.2,9.7,10.3
VT,114,3.6,27.0,98.4,80.8,10.0,11.0
WA,515,5.2,83.0,89.4,83.8,12.1,11.7
WI,264,4.4,68.1,92.1,78.6,12.6,10.4
WV,208,6.9,41.8,96.3,66.0,22.2,9.4
WY,286,3.4,29.7,95.9,83.0,13.3,10.8
DC,2922,78.5,100.0,31.8,73.1,26.4,22.1
