subj,ge,ag,hi,co,dh,dr,tv,sp,ne,ah,ve,pa,pi,re,ab,aa,ld
1,m,32,2.2,3.5,0,5.0,3,5,0,0,n,r,6,2,n,n,y
2,f,23,2.1,3.5,1200,0.3,15,7,5,6,y,d,2,1,y,y,u
3,f,27,3.3,3.0,1300,1.5,0,4,3,0,y,d,2,2,y,y,u
4,f,35,3.5,3.2,1500,8,5,5,6,3,n,i,4,1,y,y,n
5,m,23,3.1,3.5,1600,10,6,6,3,0,n,i,1,0,y,n,n
6,m,39,3.5,3.5,350,3,4,5,7,0,y,d,2,1,y,y,u
7,m,24,3.6,3.7,0,.2,5,12,4,2,n,i,2,1,y,y,y
8,f,31,3.0,3.0,5000,1.5,5,3,3,1,n,i,2,1,y,y,y
9,m,34,3.0,3.0,5000,2,7,5,3,0,n,i,1,1,y,y,u
10,m,28,4.0,3.1,900,2,1,1,2,1,y,i,3,0,n,y,y
11,m,23,2.3,2.6,253,1.5,10,15,1,1,n,r,5,1,n,y,y
12,f,27,3.5,3.6,190,3,14,3,7,0,n,d,2,1,y,y,u
13,m,36,3.3,3.5,245,1.5,6,15,12,5,n,d,1,1,y,y,y
14,m,28,3.2,3.2,500,6,3,10,1,2,n,i,4,1,y,n,y
15,f,28,3.0,3.5,3500,1,4,3,1,0,n,d,1,0,y,y,y
16,f,25,3.8,3.3,210,10,7,6,1,0,y,i,2,3,y,y,y
17,f,41,4.0,3.0,1000,15,6,7,3,10,n,i,3,3,n,u,y
18,m,50,3.8,3.8,0,3,5,9,6,10,n,d,2,0,y,n,n
19,m,71,4.0,3.5,5000,3,6,12,2,2,n,i,2,0,y,n,n
20,f,28,3.0,3.8,120,1,25,0,0,2,y,d,1,1,y,y,y
21,f,26,3.7,3.7,8000,8,4,4,4,1,n,i,4,1,y,y,y
22,f,27,4.0,3.7,2,2.5,4,2,7,0,n,i,2,1,y,y,y
23,m,31,2.7,3.5,1700,5,7,7,2,0,n,r,7,3,n,n,y
24,f,23,3.7,3.7,2,2,7,4,2,0,n,i,4,0,y,y,y
25,m,23,3.2,3.8,450,4,0,7,7,3,n,i,1,0,y,y,y
26,f,44,3.0,3.0,0,2,2,3,2,3,y,i,3,2,y,y,y
27,m,26,3.7,3.0,1000,3,8,2,7,0,n,d,2,1,y,y,u
28,f,31,3.7,3.8,850,10,10,3,7,0,n,r,5,2,y,n,y
29,m,24,3.3,3.1,420,2,10,6,5,0,n,d,4,1,y,y,u
30,f,26,3.3,3.3,1200,.75,10,0,3,0,n,r,2,1,y,y,u
31,m,26,3.3,3.5,1000,1.5,0,3,3,3,y,d,2,1,y,y,n
32,f,32,3.5,3.9,150,12,10,2,0,0,n,d,2,1,n,n,y
33,m,26,3.4,3.4,2000,1.5,2,7,14,0,n,d,2,0,y,y,n
34,f,22,3.2,2.8,316,2,10,3,5,2,n,i,2,1,y,y,u
35,f,24,3.5,3.9,900,1.75,8,0,0,1,n,d,1,1,y,y,u
36,m,24,3.6,3.3,250,2,4,6,3,1,n,r,5,3,n,y,y
37,m,23,3.8,3.7,180,.5,10,5,7,0,n,i,2,0,y,n,u
38,m,33,3.4,3.4,6000,1.5,8,5,6,2,n,i,2,0,y,y,n
39,m,23,2.8,3.2,950,2,37,10,5,0,n,r,5,2,y,n,y
40,m,31,3.8,3.5,1100,.75,.5,3,5,2,n,r,6,2,y,n,u
41,m,26,3.4,3.4,1300,1.2,0,8,2,0,n,i,2,1,n,y,n
42,m,28,2.0,3.0,360,.25,10,8,3,0,n,d,3,0,y,y,u
43,f,24,3.8,3.9,1800,2,2,5,4,1,n,r,6,3,n,y,y
44,m,23,3.0,3.6,900,15,12,0,5,0,n,r,5,0,y,n,n
45,f,25,3.0,4.0,5000,5,1.5,0,4,0,n,i,4,1,y,y,n
46,f,24,3.0,3.5,300,1,10,5,5,0,n,d,2,0,y,y,n
47,f,27,3.0,3.8,2000,20,28,7,14,2,y,r,3,1,y,y,y
48,m,24,3.3,3.8,630,1.3,2,3,5,0,n,r,7,3,n,n,y
49,f,26,3.8,4.0,1200,1,0,4,3,1,n,d,2,0,y,y,n
50,f,27,3.0,4.0,580,2,5,15,1,2,n,d,1,1,y,y,n
51,m,32,3.0,3.0,2000,5,5,5,2,1,n,r,5,3,n,y,y
52,f,41,4.0,4.0,0,8,8,4,2,2,n,r,4,1,n,n,y
53,f,29,3.0,3.9,300,3.7,2,5,1,11,n,d,2,1,y,y,y
54,f,50,3.5,3.8,6,6,7,3,7,0,n,d,2,1,y,y,u
55,f,22,3.4,3.7,80,7,10,1,2,2,n,i,2,0,y,y,u
56,f,23,3.6,3.2,375,1.5,5,10,5,0,n,r,6,3,n,n,y
57,m,26,3.5,3.6,2000,.3,16,8,3,0,n,d,4,1,y,y,u
58,m,30,3.0,3.0,1,1.1,1,4,3,0,n,i,3,3,y,n,y
59,f,23,3.0,3.0,112,.5,15,3,3,0,n,i,4,2,y,y,y
60,f,22,3.4,3.0,650,4,8,16,7,1,n,i,4,1,y,y,y

